,Source,Target,weight,start,end
358,South America,Europe,0.3913831364779634,1971-01-01,1971-12-31
359,South America,North America,0.368287858614203,1971-01-01,1971-12-31
360,Africa,Africa,0.049712807980122925,1972-01-01,1972-12-31
361,Africa,Asia,0.1843170548083522,1972-01-01,1972-12-31
362,Africa,Oceania,0.014891773063462227,1972-01-01,1972-12-31
363,Africa,Europe,0.63950046586589,1972-01-01,1972-12-31
364,Africa,North America,0.10440588525870055,1972-01-01,1972-12-31
365,Africa,South America,0.007172013023472026,1972-01-01,1972-12-31
366,Asia,Asia,0.38111278409441346,1972-01-01,1972-12-31
367,Asia,Africa,0.03252826075738679,1972-01-01,1972-12-31
368,Asia,Oceania,0.059549520361549174,1972-01-01,1972-12-31
369,Asia,Europe,0.26210667610203975,1972-01-01,1972-12-31
370,Asia,North America,0.24318512229406317,1972-01-01,1972-12-31
371,Asia,South America,0.021517636390547674,1972-01-01,1972-12-31
372,Oceania,Oceania,0.13776470363461168,1972-01-01,1972-12-31
373,Oceania,Africa,0.010202287111671501,1972-01-01,1972-12-31
374,Oceania,Asia,0.25571688813668797,1972-01-01,1972-12-31
375,Oceania,Europe,0.39191649449382665,1972-01-01,1972-12-31
376,Oceania,North America,0.20105025861805986,1972-01-01,1972-12-31
377,Oceania,South America,0.0033493680051423537,1972-01-01,1972-12-31
378,Europe,Europe,0.7159289743852753,1972-01-01,1972-12-31
379,Europe,Africa,0.04989684435990757,1972-01-01,1972-12-31
380,Europe,Asia,0.08814420190484891,1972-01-01,1972-12-31
381,Europe,Oceania,0.014172456399118764,1972-01-01,1972-12-31
382,Europe,North America,0.10492219114213597,1972-01-01,1972-12-31
383,Europe,South America,0.02693533180871355,1972-01-01,1972-12-31
384,North America,North America,0.43832705955812024,1972-01-01,1972-12-31
385,North America,Africa,0.021300063454086055,1972-01-01,1972-12-31
386,North America,Asia,0.2196640516865851,1972-01-01,1972-12-31
387,North America,Oceania,0.018770631575859995,1972-01-01,1972-12-31
388,North America,Europe,0.2615467562210737,1972-01-01,1972-12-31
389,North America,South America,0.04039143750427494,1972-01-01,1972-12-31
390,South America,South America,0.11308974409819658,1972-01-01,1972-12-31
391,South America,Africa,0.012544665482536622,1972-01-01,1972-12-31
392,South America,Asia,0.11082006354646194,1972-01-01,1972-12-31
393,South America,Oceania,0.010824969851915741,1972-01-01,1972-12-31
394,South America,Europe,0.3992213952532669,1972-01-01,1972-12-31
395,South America,North America,0.35349916176762225,1972-01-01,1972-12-31
396,Africa,Africa,0.04537391241754584,1973-01-01,1973-12-31
397,Africa,Asia,0.18741085718034392,1973-01-01,1973-12-31
398,Africa,Oceania,0.01044210480153816,1973-01-01,1973-12-31
399,Africa,Europe,0.6373309760500386,1973-01-01,1973-12-31
400,Africa,North America,0.10788461952497444,1973-01-01,1973-12-31
401,Africa,South America,0.011557530025558984,1973-01-01,1973-12-31
